month,state,permit,permit_recheck,handgun,long_gun,other,multiple,admin,prepawn_handgun,prepawn_long_gun,prepawn_other,redemption_handgun,redemption_long_gun,redemption_other,returned_handgun,returned_long_gun,returned_other,rentals_handgun,rentals_long_gun,private_sale_handgun,private_sale_long_gun,private_sale_other,return_to_seller_handgun,return_to_seller_long_gun,return_to_seller_other,totals
9/1/2021,Alabama,26657,423,18034,15390,1365,912,0,16,7,0,2094,887,16,35,0,0,0,0,27,30,7,0,0,0,65900
9/1/2021,Alaska,174,13,2497,3094,310,173,0,1,0,0,118,84,0,24,24,0,0,0,5,3,0,0,0,0,6520
9/1/2021,Arizona,5962,780,18406,10477,1769,985,0,4,1,0,1075,351,3,172,24,0,0,0,10,9,3,0,2,0,40033
9/1/2021,Arkansas,3259,719,6946,6783,495,388,1,6,6,0,1057,861,3,0,0,0,0,0,8,3,0,0,1,0,20536
9/1/2021,California,17520,14442,37842,27880,6190,0,0,0,0,1,413,230,12,1109,626,101,0,0,6793,2963,541,23,18,0,116704
9/1/2021,Colorado,8741,19,19018,14169,1696,1914,0,0,0,0,0,0,0,299,51,1,0,0,0,0,0,0,0,0,45908
9/1/2021,Connecticut,7727,777,5798,1894,881,0,6,0,0,0,0,0,0,0,0,0,0,0,473,122,64,0,0,0,17742
9/1/2021,Delaware,382,0,2032,1624,148,117,0,0,0,0,13,7,0,51,0,0,0,0,57,29,8,1,0,0,4469
9/1/2021,District of Columbia,708,0,340,3,0,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1076
9/1/2021,Florida,24490,0,59728,25555,5125,3277,0,17,2,0,3264,812,13,1084,98,4,0,0,327,243,74,39,34,0,124186
9/1/2021,Georgia,22036,0,16398,10300,885,713,2,12,11,0,1649,729,12,32,0,0,0,0,13,4,0,0,1,0,52797
9/1/2021,Guam,0,0,252,102,23,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,392
9/1/2021,Hawaii,1673,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1674
9/1/2021,Idaho,4610,3,5786,6826,561,346,0,1,2,0,324,346,2,57,14,0,0,0,4,5,2,0,1,0,18890
9/1/2021,Illinois,312148,0,22461,11566,1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347462
9/1/2021,Indiana,1756,63737,20859,14814,1857,1051,2,9,7,0,566,270,23,44,1,0,0,0,30,30,7,1,1,0,105065
9/1/2021,Iowa,4712,6443,2379,3058,128,57,19,1,0,0,13,17,0,61,13,25,0,0,2,0,1,0,0,0,16929
